"choirvoice_name"
"8 mansröster"
"Barnkör"
"Diskantkör"
"Diskantstäma"
"Diskantstämma"
"S"
"SA"
"SAA"
"SAAATBB"
"SAAB"
"SAATB"
"SAATBB"
"SAATBB+SAATTBB"
"SAATTB"
"SAATTBB"
"SAATTBB+SAATTBB"
"SAATTBBB"
"SAATTTBB"
"SAB"
"SABB"
"SAT"
"SATB"
"SATB div"
"SATB+församling"
"SATB+SATB"
"SATB+SATB+SATBdiv"
"SATBB"
"SATTB"
"SATTBB"
"Solo"
"SSA"
"SSA div"
"SSA+SATB+TTBB"
"SSAA"
"SSAAAATTBB"
"SSAAATTBBB"
"SSAAATTTBBBB"
"SSAABB"
"SSAATB"
"SSAATBB"
"SSAATTB"
"SSAATTBB"
"SSAATTBBB"
"SSAATTBBBB"
"SSAATTTBB"
"SSAATTTTBBBB"
"SSAB"
"SSAB+SATB"
"SSAT+SSATB+ATBB"
"SSATB"
"SSATBB"
"SSATTB"
"SSATTBB"
"SSATTBBB"
"SSB"
"SSSA"
"SSSAAAATTBB"
"SSSAAATTTBBB"
"SSSAATB"
"SSSAATTBB"
"SSSAATTBBB"
"SSSATTB"
"SSSSAAAATB"
"SSSSAAAATTTBBB"
"SSSSAAAATTTTBBBB"
"SSSSAATTBBBB"
"TBB"
"TTBB"
"Unison"
