names,family_name,first_name,date_born,date_dead,country_name,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anerio_ Felice,Anerio, Felice,1560,1614,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelou_ Maya,Angelou, Maya,1928,2014,USA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankarblom_ Nils-Petter,Ankarblom, Nils-Petter,1981,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonym,Anonym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymus,Anonymous, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquino_ Thomas av,Aquino, Thomas av,1225,1274,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadelt_ Jakob,Arcadelt, Jakob,1514,1557,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnberg_ Göran,Arnberg, Göran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnesen_ Kim André,Arnesen, Kim André,1980,,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnesen_ Kim-André,Arnesen, Kim-André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arpåker_ Martin,Arpåker, Martin,1990,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmussen_ Svend,Asmussen, Svend,1916,2017,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspenström_ Werner,Aspenström, Werner,1918,1997,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atterberg_ Kurt,Atterberg, Kurt,1887,1974,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auden_ W H,Auden, W H,1907,1973,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bach_ Johann Sebastian,Bach, Johann Sebastian,1685,1750,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bainton_ Edgar L,Bainton, Edgar L,1880,1956,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barber_ Samuel,Barber, Samuel,1810,1981,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartók_ Béla,Bartók, Béla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beamish_ Sally,Beamish, Sally,1956,,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker_ Albert,Becker, Albert,1834,1899,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Béen_ L M,Béen, L M,1820,1905,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beethoven_ Ludwig van,Beethoven, Ludwig van,1770,1827,Tyskland,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bejstam_ Göran,Bejstam, Göran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg_ Alban,Berg, Alban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg_ Bengt,Berg, Bengt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg_ Daniel,Berg, Daniel,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg_ Gottfrid,Berg, Gottfrid,1889,1970,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernadotte_ Folke,Bernadotte, Folke,1895,1948,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beurling_ Tea-Louice,Beurling, Tea-Louice,,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibel,Bibel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingham_ Judith,Bingham, Judith,1952,,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birgitta_ den heliga,Birgitta, den heliga,1303,1373,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bjarnegård_ Gustaf,Bjarnegård, Gustaf,1907,1990,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake_ William,Blake, William,1757,1827,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blicher_ Steen Steensen,Blicher, Steen Steensen,1782,1848,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blom_ Oskar,Blom, Oskar,1877,1930,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boberg_ Carl,Boberg, Carl,1859,1940,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolander_ Nils,Bolander, Nils,1902,1959,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldemann_ Laci,Boldemann, Laci,1921,1969,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond_ Anders,Bond, Anders,1888,1980,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bossi_ Enrico,Bossi, Enrico,1861,1925,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie_ David,Bowie, David,1947,2016,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boye_ Karin,Boye, Karin,1900,1941,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachel_ Peter von,Brachel, Peter von,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahms_ Johannes,Brahms, Johannes,1833,1897,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brentano_ Clemens,Brentano, Clemens,1778,1842,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britten_ Benjamin,Britten, Benjamin,1913,1976,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broderip_ John,Broderip, John,1719,1770,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brorson_ Hans Adolph,Brorson, Hans Adolph,1694,1764,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruckner_ Anton,Bruckner, Anton,1824,1896,Österrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brumel_ Antoine,Brumel, Antoine,1460,1512,Holland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burman_ Atle,Burman, Atle,1930,2012,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busto_ Javier,Busto, Javier,1949,,Spanien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buxtehude_ Dietrich,Buxtehude, Dietrich,1637,1707,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byrd_ William,Byrd, William,1543,1623,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byström_ Britta,Byström, Britta,1977,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byström_ Oscar,Byström, Oscar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Båge_ Magnus,Båge, Magnus,1967,,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bäck_ Sven-Erik,Bäck, Sven-Erik,1919,1994,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvisius_ Seth,Calvisius, Seth,1556,1617,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlshamre_ Reibjörn,Carlshamre, Reibjörn,1960,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlstedt_ Gunnemar,Carlstedt, Gunnemar,1922,2015,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cederberg-Orreteg_ Anna,Cederberg-Orreteg, Anna,,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedermark_ Alvar,Cedermark, Alvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadwick_ George Whitfield,Chadwick, George Whitfield,1854,1931,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charpentier_ Marc-Antoine,Charpentier, Marc-Antoine,1634,1704,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilcott_ Bob,Chilcott, Bob,1955,,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens non Papa,Clemens non Papa,,1500,1556,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleridge_ Mary E,Coleridge, Mary E,1861,1907,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornelius_ Peter,Cornelius, Peter,1824,1874,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocker_ Emelie,Crocker, Emelie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crüger_ Johann,Crüger, Johann,1598,1662,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D´Orleans_ Charles,D´Orleans, Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlberg_ Sven,Dahlberg, Sven,1940,2015,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlgren_ Henrik,Dahlgren, Henrik,1991,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darke_ Harold,Darke, Harold,1888,1976,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debussy_ Claude,Debussy, Claude,1862,1918,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejke_ Anders,Dejke, Anders,1940,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Den heliga Birgitta,Den heliga Birgitta,,1303,1373,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di Lasso_ Orlando,di Lasso, Orlando,1532,1594,Holland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di Marino_ Roberto,Di Marino, Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson_ Emily,Dickinson, Emily,1830,1886,USA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dijk_ va Peter Louis,Dijk, va Peter Louis,1953,,Holland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distler_ Hugo,Distler, Hugo,1908,1942,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobrogosz_ Steve,Dobrogosz, Steve,1956,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dowland_ John,Dowland, John,1563,1626,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumont_ Henry,Dumont, Henry,1610,1684,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duruflé_ Maurice,Duruflé, Maurice,1902,1986,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Düben_ Gustaf,Düben, Gustaf,1628,1690,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth_ wind and fire,Earth, wind and fire,,,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edlund_ Lars,Edlund, Lars,1922,2013,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egebjer_ Lars,Egebjer, Lars,1930,1986,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggehorn_ Ylva,Eggehorn, Ylva,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ek_ Lars,Ek, Lars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekedahl_ Per,Ekedahl, Per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekström Koij_ Mattias,Ekström Koij, Mattias,1968,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgar_ Edward,Elgar, Edward,1857,1934,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgenmark_ Olle,Elgenmark, Olle,1936,2016,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eljas_ Anders,Eljas, Anders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuelsson_ Ulrika,Emanuelsson, Ulrika,1965,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engquist_ Christian,Engquist, Christian,1979,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericson_ Gustaf Adolf,Ericson, Gustaf Adolf,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericsson_ Bo,Ericsson, Bo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriksson_ Gunnar,Eriksson, Gunnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriksson_ Jens,Eriksson, Jens,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlandson_ Åke,Erlandson, Åke,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlö_ Sven-Eric,Erlö, Sven-Eric,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenvalds_ Eriks,Esenvalds, Eriks,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evers_ Edvard,Evers, Edvard,1853,1919,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farrant_ Richard,Farrant, Richard,1530,1580,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fauré_ Gabriel,Fauré, Gabriel,1845,1924,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fjellheim_ Frode,Fjellheim, Frode,1959,,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flemming_ F,Flemming, F,1778,1813,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forkman_ Göran,Forkman, Göran,1937,2006,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest_ Dan,Forrest, Dan,1978,,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsberg_ Roland,Forsberg, Roland,1939,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foss_ Julius,Foss, Julius,1879,1953,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franciskus av Asissi,Franciskus av Asissi,,1181,1182,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franck_ Cesar,Franck, Cesar,1822,1890,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franke_ Cecilia,Franke, Cecilia,1955,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankmar_ Gerhard,Frankmar, Gerhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
franzén_ Bengt,franzén, Bengt,1914,1969,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franzén_ Frans Michael,Franzén, Frans Michael,1772,1847,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisk_ Sven Inge,Frisk, Sven Inge,1937,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisk_ Sven-Inge,Frisk, Sven-Inge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frostensson_ Anders,Frostensson, Anders,1906,2006,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fryklöf_ Harald,Fryklöf, Harald,1882,1919,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fröding_ Gustaf,Fröding, Gustaf,1860,1911,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrieli_ Giovanno,Gabrieli, Giovanno,1557,1612,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrielsson_ Samuel,Gabrielsson, Samuel,1881,1968,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus_ Jacobus,Gallus, Jacobus,1550,1591,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganestål_ Oskar,Ganestål, Oskar,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardemar_ Hans,Gardemar, Hans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardiner_ H Balfour,Gardiner, H Balfour,1877,1950,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner_ John,Gardner, John,1917,2011,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garuta_ Lucija,Garuta, Lucija,1902,1977,Lettland,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastoldi_ Giovanni Giacomo,Gastoldi, Giovanni Giacomo,1556,1622,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastoldi_ J J,Gastoldi, J J,1556,1622,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gellert_ C F,Gellert, C F,1715,1769,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesius_ Bartholomeus,Gesius, Bartholomeus,1562,1613,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesualdo_ Carlo,Gesualdo, Carlo,1560,1613,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbons_ Orlando,Gibbons, Orlando,1583,1625,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gjeilo_ Ola,Gjeilo, Ola,1978,,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gottwald_ Clytus,Gottwald, Clytus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gottwald_ Gottwald,Gottwald, Gottwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gounod_ Charles,Gounod, Charles,1818,1893,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grancino_ Michelangelo,Grancino, Michelangelo,1605,1669,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granstam_ Bengt,Granstam, Bengt,1932,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grieg_ Edvard,Grieg, Edvard,1843,1907,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruber_ Franz,Gruber, Franz,1787,1863,Österrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero_ Francisco,Guerrero, Francisco,1528,1599,Spanien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gullberg_ Hjalmar,Gullberg, Hjalmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gullin_ Gabriella,Gullin, Gabriella,1961,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gullin_ Lars,Gullin, Lars,1928,1976,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustaf_ Prins,Gustaf, Prins,1827,1852,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gärdestad_ Kenneth,Gärdestad, Kenneth,1948,2018,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gärdestad_ Ted,Gärdestad, Ted,1956,1997,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Göransson _ Harald,Göransson , Harald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hagvil_ Sven,Hagvil, Sven,1953,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hahn_ Gunnar,Hahn, Gunnar,1908,2001,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall_ Jan Inge,Hall, Jan Inge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallberg_ Bengt,Hallberg, Bengt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallnäs_ Hilding,Hallnäs, Hilding,1903,1984,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallqvist_ Britt-G,Hallqvist, Britt-G,1914,1997,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hambreaus_ Bengt,Hambreaus, Bengt,1928,2000,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammarsköld_ Dag,Hammarsköld, Dag,1905,1961,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammarström_ Hugo,Hammarström, Hugo,1891,1974,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerschmidt_ Andreas,Hammerschmidt, Andreas,1611,1675,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handl_ Jakob,Handl, Jakob,1550,1591,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansén_ Nisse,Hansén, Nisse,1920,1997,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansson_ Bo,Hansson, Bo,1950,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartman_ Olov,Hartman, Olov,1906,1982,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassler_ Hans Leo,Hassler, Hans Leo,1564,1612,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haydn_ Joseph,Haydn, Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haywood_ Carl,Haywood, Carl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazelius_ Esbjörn,Hazelius, Esbjörn,1973,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidenstam_ Verner von,Heidenstam, Verner von,1859,1940,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helldén_ Daniel,Helldén, Daniel,1917,1998,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellström_ Jan Arvid,Hellström, Jan Arvid,1941,1994,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemberg_ Eskil,Hemberg, Eskil,1938,2004,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henriksson_ Alf,Henriksson, Alf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
