"instrument_name"
"Bastrumma"
"Bastuba"
"Blockflöjt"
"Blåsare"
"Brass"
"Brasskvartett"
"Brasskvintett"
"Congas"
"Continuo"
"Djembe"
"Fiol"
"Flöjt"
"Fotstamp"
"Församling"
"Gitarr"
"Glas"
"Gran cassa"
"Handklapp"
"Horn"
"Instrumentalister"
"Koklocka"
"Kompband"
"Kontrabas"
"Kyrkklockor"
"Liturg"
"Ljudband"
"Marimba"
"Orgel"
"Orkester"
"Percussion"
"Piano"
"Piano/orgel"
"Puka"
"Rörklocka"
"Saxofonkvartett"
"Singing Bowl"
"Stråk"
"Symfoniorkester"
"Tamburin"
"Trombon"
"Trumpet"
"Träblås"
"Violin 1"
"Violin 2"
"Violoncell"
"Virveltrumma"
